EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3277,Wade,Beltran,16-Jun-23,24-Jun-23,Production Technician II,Darlene Garcia,wade.beltran@bilearner.com,NEL,Active,Part-Time,Zone B,Temporary,"Production       ",Aerial,21-05-1980,MA,Foreman,Female,86836,Hispanic,Married,Fully Meets,5
3281,Gloria,Rose,16-Aug-19,,Production Technician II,Thomas Jones,gloria.rose@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,"Production       ",General - Con,23-07-1954,MA,Laborer,Male,65633,Hispanic,Divorced,Fully Meets,5
3282,Rebekah,Carpenter,04-Jun-20,,Production Technician II,Stephanie Lewis,rebekah.carpenter@bilearner.com,EW,Active,Full-Time,Zone B,Full-Time,"Production       ",Wireline Construction,23-06-1978,MA,Lineman,Female,54457,Asian,Married,Fully Meets,3
3283,Iris,Reynolds,21-Jul-20,,Production Technician II,Vanessa Garrison,iris.reynolds@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,"Production       ",Wireline Construction,13-08-1988,MA,Lineman,Female,16989,Hispanic,Married,Fully Meets,3
3285,Rashad,Sutton,16-Jul-21,12-Jun-23,Production Technician I,Mark Mills,rashad.sutton@bilearner.com,MSC,Terminated for Cause,Contract,Zone B,Part-Time,"Production       ",Wireline Construction,15-01-1954,MA,Laborer,Male,81424,Other,Single,PIP,4
3300,Rosemary,Becker,25-Mar-21,08-May-22,Production Technician II,Mr. Gregory Mullins MD,rosemary.becker@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,"Production       ",Field Operations,27-11-1946,MA,Technician,Male,73771,White,Married,Fully Meets,2
3301,Amiah,Sweeney,13-May-19,13-Aug-22,Production Technician II,Michael Clark,amiah.sweeney@bilearner.com,PL,Voluntarily Terminated,Contract,Zone B,Full-Time,"Production       ",Field Operations,27-08-1997,MA,Construction Manager,Male,65436,Black,Divorced,Fully Meets,1
3309,Lillie,Potter,18-Oct-20,,Production Technician I,Kelly Brown,lillie.potter@bilearner.com,CCDR,Active,Part-Time,Zone B,Part-Time,"Production       ",Finance & Accounting,17-04-2000,MA,Assistant,Female,24730,White,Single,Fully Meets,1
3310,George,Fritz,02-Feb-22,04-Feb-23,Production Technician I,Sheryl Austin,george.fritz@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,"Production       ",Executive,25-07-1975,MA,Vp,Female,53426,Asian,Married,Fully Meets,3
3313,Aimee,Davila,09-May-21,,Production Technician I,Teresa George,aimee.davila@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,"Production       ",Wireline Construction,16-02-1976,MA,Assistant,Male,36560,Hispanic,Married,Fully Meets,3
