EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3252,Edward,Chung,14-Mar-23,,Production Technician I,Sarah Cannon,edward.chung@bilearner.com,NEL,Active,Full-Time,Zone A,Part-Time,"Production       ",Shop (Fleet),02-11-1993,MA,Mechanic,Female,29287,Black,Divorced,PIP,4
3253,Tessa,Estes,01-Sep-19,01-Jun-21,Production Technician I,Terrance Pitts,tessa.estes@bilearner.com,PL,Leave of Absence,Part-Time,Zone A,Part-Time,"Production       ",Field Operations,15-05-1993,MA,Technician,Female,46895,White,Single,Fully Meets,2
3257,Sanaa,Reilly,19-Nov-20,,Production Technician II,Jeffrey Terry,sanaa.reilly@bilearner.com,PL,Active,Full-Time,Zone A,Full-Time,"Production       ",Wireline Construction,10-04-1986,MA,Laborer,Female,89893,Other,Single,Fully Meets,3
3262,Kasey,Preston,22-Mar-22,,Production Technician II,Samantha Williams,kasey.preston@bilearner.com,MSC,Active,Full-Time,Zone A,Full-Time,"Production       ",Catv,27-01-1984,MA,Laborer,Female,69534,Black,Divorced,PIP,4
3263,Cruz,Davila,20-Apr-22,30-Apr-23,Production Technician I,Renee Jones DVM,cruz.davila@bilearner.com,NEL,Voluntarily Terminated,Full-Time,Zone A,Part-Time,"Production       ",Engineers,14-04-1990,MA,Drafter,Male,41746,Asian,Single,PIP,2
3266,Max,Mahoney,24-Jul-20,,Production Technician I,Andrew Garcia,max.mahoney@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,"Production       ",Wireline Construction,23-08-1996,MA,Laborer,Female,22339,Black,Married,Fully Meets,2
3268,Makai,Ochoa,22-Jun-23,,Production Technician I,Terry Andrade,makai.ochoa@bilearner.com,EW,Active,Contract,Zone A,Temporary,"Production       ",Field Operations,21-08-1962,MA,Driver,Female,43825,Asian,Single,Fully Meets,2
3273,Zaria,Mcintosh,16-Sep-22,,Production Technician I,Tonya Jones,zaria.mcintosh@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,"Production       ",People Services,08-12-1998,MA,Coordinator,Female,24573,Asian,Divorced,Fully Meets,4
3276,Catherine,Anthony,25-Jan-21,,Production Technician I,Joshua Lee,catherine.anthony@bilearner.com,CCDR,Active,Contract,Zone A,Temporary,"Production       ",Engineers,20-11-1996,MA,Project Manager,Male,83059,Asian,Divorced,Fully Meets,2
3278,Mina,Bryant,08-Sep-20,17-Oct-21,Production Technician II,Angela Griffin MD,mina.bryant@bilearner.com,PL,Active,Contract,Zone A,Part-Time,"Production       ",Field Operations,15-11-1944,MA,Laborer,Female,4862,Black,Married,Fully Meets,4
3279,Jonas,Everett,23-Jan-19,24-Nov-20,Production Technician II,Katrina Davis,jonas.everett@bilearner.com,BPC,Active,Full-Time,Zone A,Full-Time,"Production       ",Engineers,31-01-1994,MA,Project Manager,Male,53530,Black,Married,Fully Meets,5
3280,Makaila,Pham,29-May-23,23-Jul-23,Production Technician II,Tamara Bailey,makaila.pham@bilearner.com,CCDR,Voluntarily Terminated,Part-Time,Zone A,Temporary,"Production       ",Project Management - Con,09-07-1983,MA,Manager,Male,59596,Other,Divorced,Fully Meets,5
3284,Kennedi,Howell,21-Aug-22,29-Mar-23,Production Technician I,Jonathan Franco,kennedi.howell@bilearner.com,EW,Voluntarily Terminated,Contract,Zone A,Part-Time,"Production       ",Fielders,17-10-1948,MA,Technician,Male,22735,Other,Divorced,Fully Meets,2
3287,Litzy,Arias,01-Jan-21,,Production Technician I,Bobby Parker,litzy.arias@bilearner.com,PL,Active,Part-Time,Zone A,Temporary,"Production       ",General - Con,10-06-1979,MA,Laborer,Female,44442,Asian,Divorced,Fully Meets,1
3288,Eden,Silva,24-Sep-19,,Production Technician I,Mark Bolton,eden.silva@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,"Production       ",Field Operations,16-12-1967,MA,Foreman,Female,92307,White,Divorced,Fully Meets,2
3289,Kinley,Serrano,17-May-20,,Production Technician I,Mr. Aaron Mcclain,kinley.serrano@bilearner.com,SVG,Active,Contract,Zone A,Full-Time,"Production       ",General - Con,06-11-1980,MA,Groundman,Female,87752,White,Divorced,Fully Meets,4
3290,Jaiden,Middleton,07-Aug-18,,Production Technician I,Jeffery Baker,jaiden.middleton@bilearner.com,TNS,Active,Part-Time,Zone A,Full-Time,"Production       ",Field Operations,07-12-1995,MA,Mechanic,Male,60198,Other,Single,Fully Meets,3
3294,Brent,Henry,04-Jun-22,24-Dec-22,Production Technician I,Regina Dickerson,brent.henry@bilearner.com,NEL,Leave of Absence,Full-Time,Zone A,Temporary,"Production       ",Aerial,06-06-1965,MA,Lineman,Female,12076,Other,Divorced,Fully Meets,3
3297,Axel,Dunlap,18-Jul-20,20-Apr-21,Production Technician I,Bryan Beasley,axel.dunlap@bilearner.com,CCDR,Leave of Absence,Contract,Zone A,Temporary,"Production       ",Field Operations,12-10-1955,MA,Engineer,Male,25813,Black,Married,Fully Meets,4
